"Id_day";"Period";"BE";"DE";"FR";"NL";"RAM_0";"Row"
2;9;0.05111;-0.05667;-0.14103;0;276.58325;3
2;9;0;0;1;0;5431;67
2;9;-0.00385;0.05367;-0.01201;0.05031;114.084;118
2;9;-0.11542;-0.08401;-0.22219;0;380.89975;125
2;9;-0.00301;0.05702;-0.01182;0.05286;120.104;144
2;9;0.03594;0.05176;0.01151;0.07053;101.53075;173
2;9;-0.07445;0.00047;-0.00776;0.04215;310.958;175
2;9;0.34656;0.00243;0.06659;0.0043;1175.95325;228
2;9;-0.02839;0.03988;-0.02768;0.02478;129.3775;240
2;9;-0.04447;-0.09829;-0.21419;0;351.54275;269
2;9;-0.02187;0.03941;-0.02285;0.02709;116.308;274
2;9;-0.01627;0.04199;-0.02082;0.03361;113.2095;282
2;9;0.32742;0.0031;0.10734;-0.05322;1236.408;283
2;9;-0.00952;-0.09165;-0.24484;0;380.70875;339
2;9;-0.04929;-0.08479;-0.23739;0;380.88025;345
2;9;0.23203;0.00138;0.11617;-0.14761;1332.72475;361
2;9;0;-0.09364;-0.24654;0;380.659;362
2;9;0.10834;0.03682;0.04843;0.10627;187.26375;374
2;9;-0.11224;0.00637;-0.05627;0.27502;804.28375;405
2;9;0.01008;-0.0828;-0.19078;0;309.93;461
2;9;-0.0232;0.02842;-0.02233;0.01789;97.26325;469
2;9;0;-1;0;0;4409;496
2;9;0;-0.09793;-0.22464;0;351.55175;508
2;9;0;0;-1;0;2569;523
2;9;0.24261;-0.00387;-0.18378;0.11674;627.98475;538
2;9;0.0817;0.04132;0.02804;0.10036;129.524;584
2;9;-0.02074;0.03914;-0.02426;0.02973;115.23525;585
2;9;-0.12872;-0.09708;-0.19489;0;351.573;596
2;9;-0.12907;-0.09292;-0.1959;0;351.677;597
2;9;0.11492;0.05835;0.05427;0.1245;127.34625;602
2;9;-0.18071;0.00599;-0.08223;-0.25458;660.51425;626
2;9;-0.10423;3e-04;0.01025;-0.02202;451.558;643
2;9;-0.03723;0.03801;-0.02892;0.01384;151.60425;652
2;9;0.13352;0.06288;0.1537;0.08426;384.4655;697
2;9;0;0;0;0.18668;422.333;714
5;15;-0.03105;-0.003;-0.01002;-0.06943;165.7345;5
5;15;-0.16281;0.00995;-0.08242;0.12192;655.804;7
5;15;0.29085;-0.00661;0.07506;-0.04085;886.5257;8
5;15;-0.04626;0.0356;-0.01931;-0.0495;322.4001;38
5;15;0.10296;0.00449;-0.01453;0.0293;376.9421;126
5;15;-0.10296;-0.00449;0.01453;-0.0293;484.0579;131
5;15;-1;0;0;0;4500;133
5;15;0.19607;0.04738;0.25152;0.06609;969.7715;136
5;15;-0.04159;-0.10765;-0.032;0;299.167;142
5;15;-0.13887;-0.13887;-0.13887;0;298.6113;155
5;15;0;0;1;0;5601;158
5;15;-0.04613;-0.13212;-0.05648;0;326.9224;265
5;15;-0.04642;-0.11968;-0.04642;0;299.0706;285
5;15;-0.09916;-0.12046;-0.1342;0;282.9328;327
5;15;0.24719;-0.00865;0.09343;-0.05846;841.4773;330
5;15;-0.10551;-0.09117;-0.07004;0;298.877;333
5;15;-0.13447;-0.11117;-0.11117;0;298.8883;345
5;15;-0.12094;-0.08679;-0.11088;0;256.373;363
5;15;0;-1;0;0;4400;393
5;15;-0.09917;-0.12045;-0.1342;0;282.933;428
5;15;0;0;-1;0;4801;443
5;15;-0.13517;-0.11282;-0.13517;0;283.0953;449
5;15;-0.0311;-0.00683;-0.00896;-0.05719;131.5249;474
5;15;-0.10555;-0.09116;-0.07007;0;298.8775;539
5;15;0.26458;-0.00983;0.10527;-0.075;929.5007;566
5;15;0.18074;0.0383;0.20278;0.06113;786.1269;580
5;15;-0.04905;0.02404;-0.02179;-0.23736;635.0723;599
5;15;0.05657;0.00566;-0.10243;0.07114;651.4261;626
5;15;-0.06387;-0.14427;-0.11291;0;327.2437;627
5;15;-0.09385;-0.13189;-0.13189;0;282.6811;669
5;15;-0.07842;0.02528;-0.03726;0.27062;745.172;740
6;3;-0.10725;-0.10962;-0.10293;0;250.8369;5
6;3;-0.16056;0.00739;-0.08235;0.12024;862.7689;9
6;3;-0.29059;0.00622;-0.11859;0.06388;1351.6715;46
6;3;0.17716;0.25302;0.20523;0;583.0081;94
6;3;0.033;-0.00391;0.01631;0.12425;286.5162;102
6;3;0.26191;-0.0066;0.10595;-0.07456;1193.5541;146
6;3;0.18048;0.25407;0.20628;0;583.0186;187
6;3;-0.095;-0.12586;-0.11814;0;274.6642;213
6;3;0.157;-0.00754;0.08201;-0.11858;982.2149;222
6;3;0.0215;0.0033;-0.10262;0.07032;793.389;315
6;3;-0.14166;-0.14237;-0.14237;0;306.5763;334
6;3;-0.11674;-0.14273;-0.14273;0;306.5727;338
6;3;0;0;-1;0;6836;356
6;3;0.2019;0.08579;0.19756;0.14151;414.3251;392
6;3;0.18286;0.25477;0.2072;0;583.0234;424
6;3;0.18596;0.25504;0.21036;0;582.9972;457
6;3;-0.07547;0.02241;-0.03542;0.24704;771.332;477
6;3;-0.09382;-0.12233;-0.10196;0;274.573;478
6;3;0.17798;0.2524;0.20818;0;582.9662;513
6;3;-0.0479;0.02373;-0.02073;-0.23005;582.9824;514
6;3;0.18419;0.25387;0.21166;0;582.9608;526
6;3;0.18139;0.25272;0.21159;0;582.9385;528
6;3;-1;0;0;0;4500;613
6;3;-0.27216;-0.0376;-0.12029;-0.27422;1124.1931;620
6;3;-0.09168;-0.10609;-0.08709;0;250.7491;633
6;3;0;-1;0;0;4400;643
6;3;-0.12678;-0.13564;-0.14404;0;306.7276;693
6;3;-0.10981;-0.12714;-0.10433;0;300.5005;705
6;3;-0.09243;-0.11151;-0.09243;0;250.6941;706
6;3;0;0;1;0;5701;722
6;3;-0.13863;-0.13517;-0.14393;0;306.7359;753
6;3;-0.11538;-0.11628;-0.11538;0;250.8282;754
6;3;-0.11837;-0.13697;-0.14391;0;306.6997;756
6;3;-0.11834;-0.13702;-0.1439;0;306.6986;781
6;3;0.09837;0.00352;-0.01481;0.02905;365.928;793
6;3;0.28761;-0.00429;0.07575;-0.04079;1176.5646;852
6;3;0;1;0;0;7000;870
6;3;-0.09837;-0.00352;0.01481;-0.02905;500.072;880
7;16;0.00347;0.07703;0.02923;9e-05;198.60944;7
7;16;0.04466;-0.04914;-0.06788;-0.02385;242.40368;10
7;16;0.00458;0.08477;0.03399;-0.02973;292.19508;90
7;16;-0.00322;0.06246;-0.01185;0.05831;127.57896;103
7;16;-0.00316;-0.02709;-0.01232;0.1081;287.16732;104
7;16;-0.00322;0.05042;-0.01185;0.05831;121.37496;107
7;16;-0.00308;0.06194;-0.00658;0.06392;119.866;123
7;16;-0.00445;-0.04655;-0.04816;0.01573;127.57616;126
7;16;-0.00397;-0.04074;-0.04266;0.01375;112.82964;187
7;16;-0.00532;-0.02992;-0.0473;0.02846;145.88096;212
7;16;0.00829;-0.05968;0.00463;-0.04294;167.22284;266
7;16;-1;0;0;0;4500;315
7;16;-0.00212;-0.00285;-0.01965;0.01866;71.82596;320
7;16;0.01235;0.07284;0.04607;0.11337;237.24644;352
7;16;0;0;1;0;5301;363
7;16;0.00601;0.07691;0.03429;-0.12806;599.91896;439
7;16;-0.00318;0.06014;-0.01161;0.05753;123.40632;453
7;16;-0.00268;0.05952;-0.00399;0.05818;109.14152;460
7;16;-0.00397;-0.04735;-0.04455;0.01063;118.0916;461
7;16;0.0036;0.07424;0.02868;-0.00545;202.508;466
7;16;0.12095;-0.17798;-0.09618;-0.21372;1195.11556;487
7;16;-0.00434;-0.0634;-0.05403;0.00723;147.57584;507
7;16;0.0063;0.07432;0.03304;-0.17944;758.92632;584
7;16;-0.00399;-0.03997;-0.04252;0.01433;112.89904;664
8;8;-0.10529;-0.00228;-0.00294;-0.01788;447.1626;13
8;8;0.16789;0.23219;0.18623;0;527.7815;24
8;8;0.1525;0.22432;0.19051;0;527.5813;42
8;8;0.15721;0.23125;0.17537;0;527.8713;111
8;8;0;-1;0;0;4400;114
8;8;0.10584;0.00283;-0.015;0.0305;373.9016;115
8;8;-1;0;0;0;4500;133
8;8;-0.08725;-0.10487;-0.09999;0;228.9025;137
8;8;-0.03882;-0.08744;-0.05715;-0.03311;139.1538;168
8;8;0.16785;-0.00515;0.08227;-0.1291;1093.3653;212
8;8;0.20516;0.0629;0.26248;0.07322;1259.901;226
8;8;-0.08966;-0.10392;-0.09578;0;228.8794;227
8;8;-0.08892;-0.10082;-0.10082;0;216.9918;251
8;8;-0.08907;-0.1004;-0.1009;0;217.001;302
8;8;0.13691;0.22388;0.17183;0;527.7593;310
8;8;-0.18332;0.00558;-0.08604;0.13821;898.5899;312
8;8;0;0;1;0;5701;315
8;8;0.07759;0.00071;-0.10435;0.07573;592.3004;339
8;8;-0.04531;0.02981;-0.0181;-0.06026;335.3798;353
8;8;-0.08966;-0.10081;-0.10081;0;216.9919;362
8;8;-0.09519;-0.10559;-0.1037;0;228.9252;397
8;8;-0.10584;-0.00283;0.015;-0.0305;493.0984;478
8;8;0.16163;0.2281;0.19069;0;527.6551;486
8;8;-0.29947;0.00203;-0.07531;0.0398;1235.3957;488
8;8;-0.09364;-0.10477;-0.09991;0;228.9037;500
8;8;-0.07608;0.02084;-0.03513;0.28882;780.8799;503
8;8;0.14784;0.22997;0.16725;0;527.9269;576
8;8;-0.29868;0.00277;-0.11845;0.06312;1293.6087;611
8;8;0.14112;0.22328;0.17908;0;527.6748;635
8;8;0.27119;-0.00347;0.10593;-0.07619;1201.6332;684
8;8;0.13698;0.22378;0.17221;0;527.7535;713
8;8;0.2937;-0.00139;0.09238;-0.04419;1234.4903;732
8;8;-0.16175;0.00503;-0.0821;0.13087;809.6129;743
8;8;-0.08658;-0.10393;-0.09568;0;228.8782;783
